"135,00+ Flights","135,00+ Flüge"
A confirmation email has been sent to your provided email address.,Eine Bestätigungsmail wurde an Ihre angegebene E-Mail-Adresse gesendet.
About,Etwa
About Delta Airlines,Über Delta Airlines
About Flights.com,Über Flights.com
About You,Über dich
Account Activation,Account Aktivierung
Account Settings,Account Einstellungen
Activation Email,Die Aktivierung per E-Mail
Activation failed.,Aktivierung fehlgeschlagen.
Add Airline,In Airline
Add Airport,In Flughafen
Add Airports,In Flughäfen
Add Amenity,In der Ausstattung
Add another person,Fügen Sie eine weitere Person
Add Category,Kategorie hinzufügen
Add Destination,Ziel hinzufügen
Add Feature,Schreibe Feature
Add Flight,In Flight
Add Hotel,Hotel hinzufügen
Add Inflight Feature,In Inflight Eigenschaft
Add Package,Paket hinzufügen
Add Sites,Sites hinzufügen
Add Translation,In Translation
Add User,Benutzer hinzufügen
Address,Adresse
Adult Price,Erwachsene Preis
Adults,Erwachsene
Airline,Fluggesellschaft
Airlines,Fluggesellschaften
Airports,Flughäfen
All flights in the system,Alle Flüge im System
All hotels in the system,Alle Hotels im System
Already a Flights.com member? ,Bereits ein Flights.com Mitglied?
Amazing Places,Beeindruckende Plätze
Amount,Menge
anytime,jederzeit
Are you sure you want to deletе this item?,"Sind Sie sicher, dass Sie diesen Artikel deletе?"
Are you sure?,Bist du sicher?
Arrival,Ankunft
Arrive At,Ankommen bei
Arriving On,Ankunft am
Author,Autor
Available,Erhältlich
Available Features,Verfügbare Funktionen
AVG/PERSON,AVG / PERSON
Baggage,Gepäck
Base fare,Grundfahrpreis
Basic Information,Grundinformation
Before you Fly,Bevor Sie fliegen
Best Price Guarantee,Best Preis Garantie
Best value for frequent travelers,Bester Wert für Vielreisende
BOOK,BUCH
book flight now,Flug buchen jetzt
Book your Bags in Advance,Buchen Sie Ihre Taschen im Voraus
booked on,gebucht auf
Booking,Buchung
Booking #,Buchung #
Booking Confirmation,Buchungsbestätigung
Booking Details,Buchungsdetails
Booking number,Buchungsnummer
Bookings,Buchungen
Both emails not match,Beide E-Mails nicht überein
Both passwords not match,Beide Passwörter nicht überein
"By continuing, you agree to the Terms and Conditions.","Fortfahren, stimmen Sie zu den Allgemeinen Geschäftsbedingungen."
"By signing up, I agree to Flights.com Terms of Service, Privacy Policy, Guest Refund Policy, and Host Guarantee Terms.","Wenn Sie sich, ich stimme Nutzungsbedingungen zu Flights.com, Datenschutz, Gast Rückerstattung-Politik, und Host-Garantiebestimmungen."
Cancel,Stornieren
Cancel Price,Abbrechen Preis
Cancellation,Stornierung
CANCELLED,ABGEBROCHEN
Capacity,Kapazität
Card holder name,Name des Karteninhabers
Card identification number,Karten-Identifikationsnummer
Card number,Kartennummer
Change,Veränderung
Change Your Password,Ändern Sie Ihr Passwort
Cheap Flights,Billigflüge
Check your Flight Status,Überprüfen Sie Ihren Flugstatus
City,Stadt
"city, distirct or specific airpot","Stadt, distirct oder spezifische airpot"
"city, district, or specific airpot","Stadt, Kreis oder spezifische airpot"
Client,Klient
Comment,Kommentar
Comments,Bemerkungen
Comments posted by users,Kommentare von Nutzern
Confirm,Bestätigen
Confirm email address,E-Mail-Adresse bestätigen
Confirm New password,Neues Passwort bestätigen
confirm password,Bestätige das Passwort
Contact Details,Kontakt details
Country,Land
Coverage for non-award,Coverage für Nicht-Vergabe
Credit Card Type,Kreditkartentyp
Customer Care,Kundendienst
Database with international airports,Datenbank mit internationalen Flughäfen
Delete Item,Element löschen
Depart From,Abfahrt von
Departing On,abfliegen
Departure,Abreise
Departure on,Abreise am
Describe Yourself,Beschreibe dich selbst
Description,Beschreibung
Destinations,Reiseziele
Details,Einzelheiten
Discover,Entdecken
Don't have an account? ,Sie haben noch kein Konto?
Duration,Dauer
Edit,Bearbeiten
EDIT PROFILE,PROFIL BEARBEITEN
Email Activation,E-Mail-Aktivierung
email address,E-Mail-Addresse
Email confirmation,Email Bestätigung
Enter New Password,Neues Passwort eingeben
Excellent Support,Hervorragende Unterstützung
